"Notes"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Mercer County, PA"	"42085"	"Black or African American"	"2054-5"	2	544	367.6 (Unreliable)
	"Mercer County, PA"	"42085"	"White"	"2106-3"	25	13109	190.7
"Total"	"Mercer County, PA"	"42085"			27	13653	197.8
	"Mifflin County, PA"	"42087"	"Black or African American"	"2054-5"	0	17	0.0 (Unreliable)
	"Mifflin County, PA"	"42087"	"White"	"2106-3"	6	5348	112.2 (Unreliable)
"Total"	"Mifflin County, PA"	"42087"			6	5365	111.8 (Unreliable)
	"Monroe County, PA"	"42089"	"Black or African American"	"2054-5"	0	213	0.0 (Unreliable)
	"Monroe County, PA"	"42089"	"White"	"2106-3"	7	10666	65.6 (Unreliable)
"Total"	"Monroe County, PA"	"42089"			7	10879	64.3 (Unreliable)
	"Montgomery County, PA"	"42091"	"Black or African American"	"2054-5"	4	4973	80.4 (Unreliable)
	"Montgomery County, PA"	"42091"	"White"	"2106-3"	72	75981	94.8
"Total"	"Montgomery County, PA"	"42091"			76	80954	93.9
	"Montour County, PA"	"42093"	"Black or African American"	"2054-5"	0	6	0.0 (Unreliable)
	"Montour County, PA"	"42093"	"White"	"2106-3"	4	1983	201.7 (Unreliable)
"Total"	"Montour County, PA"	"42093"			4	1989	201.1 (Unreliable)
	"Northampton County, PA"	"42095"	"Black or African American"	"2054-5"	0	554	0.0 (Unreliable)
	"Northampton County, PA"	"42095"	"White"	"2106-3"	27	28231	95.6
"Total"	"Northampton County, PA"	"42095"			27	28785	93.8
	"Northumberland County, PA"	"42097"	"Black or African American"	"2054-5"	0	43	0.0 (Unreliable)
	"Northumberland County, PA"	"42097"	"White"	"2106-3"	17	11205	151.7 (Unreliable)
"Total"	"Northumberland County, PA"	"42097"			17	11248	151.1 (Unreliable)
	"Perry County, PA"	"42099"	"Black or African American"	"2054-5"	0	7	0.0 (Unreliable)
	"Perry County, PA"	"42099"	"White"	"2106-3"	7	5270	132.8 (Unreliable)
"Total"	"Perry County, PA"	"42099"			7	5277	132.7 (Unreliable)
	"Philadelphia County, PA"	"42101"	"Black or African American"	"2054-5"	136	61687	220.5
	"Philadelphia County, PA"	"42101"	"White"	"2106-3"	155	96797	160.1
"Total"	"Philadelphia County, PA"	"42101"			291	158484	183.6
